"Ingredient_ID","Nutrient_ID","Value"
1007,3,2.686
1007,4,7.227
1007,6,2.524
1007,7,5.752
1007,8,0.45
1007,9,0.274
1007,12,0.0
1007,16,0.0
1007,5,0.883
1007,10,0.0
1007,11,0.0
1007,13,0.0
1007,14,0.0
1007,15,0.0
1007,31,7.023
1007,32,0.724
1009,46,23.3
1009,54,34.0
1009,23,2.44
1009,30,409.0
1009,20,0.0
1009,64,36.6
1009,21,0.0
1009,52,0.0
1009,51,0.33
1009,34,0.0
1009,22,707.0
1009,39,0.16
1009,42,27.0
1009,44,458.0
1009,45,77.0
1009,50,654.0
1009,65,3.67
1009,28,0.033
1009,49,28.3
1009,47,316.0
1009,55,316.0
1009,25,0.0
1009,24,0.0
1009,61,0.75
1009,60,0.6
1009,29,0.0
1009,41,0.0
1009,40,0.0
1009,59,0.0
1009,53,0.029
1009,48,0.441
1009,43,0.052
1009,58,0.069
1009,37,21.0
1009,56,1.06
1009,27,16.5
1009,63,2.4
1009,38,0.0
1009,36,21.0
1009,35,21.0
1009,62,0.0
1009,57,0.0
1009,26,100.0
1009,33,19.2
1009,17,0.653
1009,18,0.543
1009,19,0.349
1009,1,0.843
1009,2,0.963
1009,3,3.1
1009,4,8.79
1009,6,3.39
1009,7,7.41
1009,8,1.16
1009,9,0.121
1009,12,0.051
1009,16,0.001
1009,5,0.516
1009,10,0.001
1009,11,0.064
1009,13,0.01
1009,14,0.001
1009,15,0.018
1009,31,7.44
1009,32,1.18
1011,46,23.76
1011,54,32.11
1011,23,2.57
1011,30,394.0
1011,20,0.0
1011,64,38.2
1011,21,0.0
1011,52,0.0
1011,51,0.52
1011,34,0.0
1011,22,685.0
1011,39,0.76
1011,42,26.0
1011,44,457.0
1011,45,127.0
1011,50,604.0
1011,65,3.07
1011,28,0.042
1011,49,14.5
1011,47,257.0
1011,55,264.0
1011,25,82.0
1011,24,0.0
1011,61,0.28
1011,60,0.6
1011,29,0.0
1011,41,0.0
1011,40,0.0
1011,59,0.0
1011,53,0.015
1011,48,0.375
1011,43,0.093
1011,58,0.079
1011,37,18.0
1011,56,0.83
1011,27,15.4
1011,63,2.7
1011,38,0.0
1011,36,18.0
1011,35,18.0
1011,62,0.0
1011,57,0.0
1011,26,95.0
1011,33,20.218
1011,17,1.041
1011,18,0.259
1011,19,0.324
1011,1,0.597
1011,2,0.422
1011,3,3.831
1011,4,8.232
1011,6,3.63
1011,7,7.813
1011,8,0.676
1011,9,0.277
1011,12,0.0
1011,16,0.0
1011,5,0.979
1011,10,0.0
1011,11,0.0
1011,13,0.0
1011,14,0.0
1011,15,0.0
1011,31,9.28
1011,32,0.953
1012,46,11.62
1012,54,4.22
1012,23,4.6
1012,30,103.0
1012,20,0.0
1012,64,78.1
1012,21,0.0
1012,52,0.0
1012,51,2.67
1012,34,0.0
1012,22,88.0
1012,39,0.0
1012,42,9.0
1012,44,154.0
1012,45,124.0
1012,50,350.0
1012,65,0.45
1012,28,0.0
1012,49,9.7
1012,47,36.0
1012,55,36.0
1012,25,0.0
1012,24,0.0
1012,61,0.08
1012,60,0.1
1012,29,0.0
1012,41,0.0
1012,40,0.0
1012,59,0.0
1012,53,0.052
1012,48,0.163
1012,43,0.138
1012,58,0.047
1012,37,12.0
1012,56,0.66
1012,27,18.4
1012,63,0.0
1012,38,0.0
1012,36,12.0
1012,35,12.0
1012,62,0.0
1012,57,0.0
1012,26,18.0
1012,33,2.6
1012,17,0.109
1012,18,0.025
1012,19,0.023
1012,1,0.064
1012,2,0.136
1012,3,0.424
1012,4,1.23
1012,6,0.383
1012,7,0.714
1012,8,0.097
1012,9,0.017
1012,12,0.0
1012,16,0.0
1012,5,0.047
1012,10,0.0
1012,11,0.0
1012,13,0.0
1012,14,0.0
1012,15,0.0
1012,31,0.916
1012,32,0.123
1014,46,10.34
1014,54,0.29
1014,23,6.66
1014,30,72.0
1014,20,0.0
1014,64,81.01
1014,21,0.0
1014,52,0.0
1014,51,1.85
1014,34,0.0
1014,22,86.0
1014,39,0.15
1014,42,11.0
1014,44,190.0
1014,45,137.0
1014,50,372.0
1014,65,0.47
1014,28,0.03
1014,49,9.4
1014,47,2.0
1014,55,2.0
1014,25,0.0
1014,24,0.0
1014,61,0.01
1014,60,0.0
1014,29,0.0
1014,41,0.0
1014,40,0.0
1014,59,0.0
1014,53,0.023
1014,48,0.226
1014,43,0.144
1014,58,0.016
1014,37,9.0
1014,56,0.46
1014,27,17.9
1014,63,0.0
1014,38,0.0
1014,36,9.0
1014,35,9.0
1014,62,0.0
1014,57,0.0
1014,26,7.0
1014,33,0.169
1014,17,0.007
1014,18,0.002
1014,19,0.005
1014,1,0.009
1014,2,0.006
1014,3,0.02
1014,4,0.07
1014,6,0.05
1014,7,0.067
1014,8,0.003
1014,9,0.0
1014,12,0.0
1014,16,0.0
1014,5,0.012
1014,10,0.0
1014,11,0.0
1014,13,0.0
1014,14,0.0
1014,15,0.0
1014,31,0.079
1014,32,0.003
1015,46,11.0
1015,54,2.3
1015,23,4.31
1015,30,82.0
1015,20,0.0
1015,64,81.1
1015,21,0.0
1015,52,0.0
1015,51,4.1
1015,34,0.0
1015,22,103.0
1015,39,0.13
1015,42,9.0
1015,44,148.0
1015,45,120.0
1015,50,321.0
1015,65,0.61
1015,28,0.03
1015,49,14.6
1015,47,69.0
1015,55,69.0
1015,25,0.0
1015,24,0.0
1015,61,0.08
